"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"165","I192075342","Simple Assault",42.35540738,-71.06312433,"Downtown","2019"
"166","I192075336","Simple Assault",42.31985444,-71.07972518,"Roxbury","2019"
"167","I192075327","Simple Assault",42.29919694,-71.06046974,"Dorchester","2019"
"168","I192075326","Simple Assault",42.28716674,-71.07633479,"Mattapan","2019"
"169","I192075315","Simple Assault",42.25867638,-71.15116479,"West Roxbury","2019"
"170","I192075309","Simple Assault",42.34285014,-71.06516235,"South End","2019"
"171","I192075293","Simple Assault",42.35698857,-71.06084937,"Downtown","2019"
"172","I192075284","Simple Assault",42.29848866,-71.06313294,"Dorchester","2019"
"173","I192075238","Simple Assault",42.35800156,-71.06044213,"Downtown","2019"
"174","I192075213","Simple Assault",42.27968299,-71.09286048,"Mattapan","2019"
"175","I192075209","Simple Assault",42.35594239,-71.06258333,"Downtown","2019"
"176","I192075176","Simple Assault",42.29505434,-71.08904077,"Mattapan","2019"
"177","I192075171","Simple Assault",42.3787102,-71.06180963,"Charlestown","2019"
"178","I192075166","Simple Assault",42.31283412,-71.08974712,"Roxbury","2019"
"179","I192075161","Simple Assault",42.30888817,-71.11553037,"Jamaica Plain","2019"
"180","I192075147","Simple Assault",42.30190019,-71.06777275,"Dorchester","2019"
"181","I192075119","Simple Assault",42.28187061,-71.08751152,"Mattapan","2019"
"182","I192075055","Simple Assault",42.31363409,-71.06778025,"Dorchester","2019"
"183","I192075032","Simple Assault",42.31529421,-71.09486034,"Jamaica Plain","2019"
"184","I192074988","Simple Assault",42.32925359,-71.07741881,"Roxbury","2019"
"185","I192074937","Simple Assault",42.30131086,-71.08443841,"Mattapan","2019"
"186","I192074898","Simple Assault",42.27357721,-71.0677043,"Dorchester","2019"
"187","I192074838","Simple Assault",42.2578406,-71.14813948,"West Roxbury","2019"
"188","I192074824","Simple Assault",42.35952721,-71.05358839,"Downtown","2019"
"189","I192074810","Simple Assault",42.32986242,-71.09425493,"Roxbury","2019"
"190","I192074791","Simple Assault",42.3026067,-71.12560937,"Jamaica Plain","2019"
"191","I192074768","Simple Assault",42.32883627,-71.08459849,"Roxbury","2019"
