"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"339","I192074820","Motor Vehicle Accident Response",42.30316091,-71.08515552,"Mattapan","2019"
"340","I192074817","Motor Vehicle Accident Response",42.26541314,-71.15270131,"West Roxbury","2019"
"341","I192074813","Motor Vehicle Accident Response",42.34496729,-71.06382224,"South End","2019"
"342","I192074812","Motor Vehicle Accident Response",42.33976143,-71.0570922,"South Boston","2019"
"343","I192074806","Motor Vehicle Accident Response",42.33312966,-71.03530578,"South Boston","2019"
"344","I192074794","Motor Vehicle Accident Response",42.33605354,-71.10846519,"Roxbury","2019"
"345","I192074787","Motor Vehicle Accident Response",42.3281283,-71.05785958,"South Boston","2019"
"346","I192074786","Motor Vehicle Accident Response",42.33845708,-71.07309843,"South End","2019"
"347","I192074778","Motor Vehicle Accident Response",42.3281283,-71.05785958,"South Boston","2019"
"348","I192074772","Motor Vehicle Accident Response",42.26909851,-71.09361458,"Mattapan","2019"
"349","I192074761","Motor Vehicle Accident Response",42.31949779,-71.09707352,"Roxbury","2019"
"350","I192074750","Motor Vehicle Accident Response",42.27422198,-71.09204767,"Mattapan","2019"
"351","I192074744","Motor Vehicle Accident Response",42.29912998,-71.08672066,"Roxbury","2019"
"352","I192074739","Motor Vehicle Accident Response",42.35892253,-71.05635419,"Downtown","2019"
"353","I192074711","Motor Vehicle Accident Response",42.31214719,-71.08053224,"Roxbury","2019"
"354","I192074710","Motor Vehicle Accident Response",42.320483,-71.061514,"Dorchester","2019"
"355","I192074707","Motor Vehicle Accident Response",42.2554572,-71.12078435,"Hyde Park","2019"
"356","I192074701","Motor Vehicle Accident Response",42.29896223,-71.0570442,"Dorchester","2019"
"357","I192074698","Motor Vehicle Accident Response",42.3584724,-71.06861909,"Downtown","2019"
"358","I192074695","Motor Vehicle Accident Response",42.36394509,-71.05942841,"Downtown","2019"
"359","I192074684","Motor Vehicle Accident Response",42.27967051,-71.08887826,"Mattapan","2019"
"360","I192074671","Motor Vehicle Accident Response",42.25747771,-71.11966579,"Hyde Park","2019"
"361","I192074661","Motor Vehicle Accident Response",42.31600283,-71.06272297,"Dorchester","2019"
"362","I192074660","Motor Vehicle Accident Response",42.30650674,-71.05756867,"Dorchester","2019"
"363","I192074638","Motor Vehicle Accident Response",42.25794926,-71.1612288,"West Roxbury","2019"
"364","I192074637","Motor Vehicle Accident Response",42.28529234,-71.09121672,"Mattapan","2019"
"365","I192074602","Motor Vehicle Accident Response",42.31511309,-71.08674186,"Roxbury","2019"
"366","I192074593","Motor Vehicle Accident Response",42.2833382,-71.06230407,"Dorchester","2019"
"367","I192074592","Motor Vehicle Accident Response",42.31240781,-71.08032578,"Roxbury","2019"
"368","I192074546","Motor Vehicle Accident Response",42.32873966,-71.07624439,"Roxbury","2019"
"369","I192074502","Motor Vehicle Accident Response",42.36474297,-71.06256983,"Downtown","2019"
