"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"116","I192077140","Larceny",42.34258727,-71.0742004,"South End","2019"
"117","I192077133","Larceny",42.33539376,-71.05212586,"South Boston","2019"
"118","I192077127","Larceny",42.35300247,-71.0450227,"South Boston","2019"
"119","I192077126","Larceny",42.25332979,-71.12467152,"Hyde Park","2019"
"120","I192077125","Larceny",42.35048627,-71.13288438,"Brighton","2019"
"121","I192077120","Larceny",42.34410718,-71.1018026,"South End","2019"
"122","I192077116","Larceny",42.35235279,-71.13597905,"Brighton","2019"
"123","I192077107","Larceny",42.32375515,-71.07391884,"Roxbury","2019"
"124","I192077106","Larceny",42.34496729,-71.06382224,"South End","2019"
"125","I192077099","Larceny",42.34295449,-71.07628128,"South End","2019"
"126","I192077090","Larceny",42.31635508,-71.06593853,"Roxbury","2019"
"127","I192077078","Larceny",42.28277895,-71.07135525,"Dorchester","2019"
"128","I192077077","Larceny",42.32809966,-71.06321676,"South Boston","2019"
"129","I192077068","Larceny",42.33816387,-71.07461217,"South End","2019"
"130","I192077063","Larceny",42.35095909,-71.0741278,"South End","2019"
"131","I192077060","Larceny",42.35095909,-71.0741278,"South End","2019"
"132","I192077035","Larceny",42.34747759,-71.04467675,"South Boston","2019"
"133","I192077031","Larceny",42.33571838,-71.03025592,"South Boston","2019"
"134","I192077028","Larceny",42.26771874,-71.11042217,"Hyde Park","2019"
"135","I192077027","Larceny",42.34225888,-71.07749696,"South End","2019"
"136","I192077026","Larceny",42.37836895,-71.05871896,"Charlestown","2019"
"137","I192077025","Larceny",42.3670889,-71.05481065,"Downtown","2019"
"138","I192077023","Larceny",42.32696647,-71.06198607,"South Boston","2019"
"139","I192077017","Larceny",42.30600262,-71.0587872,"Dorchester","2019"
"140","I192077003","Larceny",42.35332464,-71.05727637,"Downtown","2019"
"141","I192076999","Larceny",42.34339388,-71.09849282,"South End","2019"
"142","I192076995","Larceny",42.32972848,-71.05466781,"South Boston","2019"
"143","I192076993","Larceny",42.31499803,-71.09194485,"Roxbury","2019"
"144","I192076990","Larceny",42.34372964,-71.07206985,"South End","2019"
"145","I192076976","Larceny",42.37912706,-71.06122663,"Charlestown","2019"
"146","I192076962","Larceny",42.34285014,-71.06516235,"South End","2019"
"147","I192076825","Larceny",42.27130225,-71.07442362,"Mattapan","2019"
"148","I192076824","Larceny",42.35264621,-71.07373272,"South End","2019"
"149","I192076817","Larceny",42.31610023,-71.07523196,"Roxbury","2019"
"150","I192076805","Larceny",42.27423918,-71.06752802,"Dorchester","2019"
"151","I192076798","Larceny",42.3791344,-71.06685375,"Charlestown","2019"
"152","I192076790","Larceny",42.28079417,-71.07882205,"Mattapan","2019"
"153","I192076789","Larceny",42.2799304,-71.0741148,"Mattapan","2019"
"154","I192076788","Larceny",42.28029155,-71.07220576,"Mattapan","2019"
"155","I192076781","Larceny",42.34862382,-71.08277637,"South End","2019"
"156","I192076777","Larceny",42.28148631,-71.07756482,"Mattapan","2019"
"157","I192076777","Larceny",42.28148631,-71.07756482,"Mattapan","2019"
"158","I192076777","Larceny",42.28148631,-71.07756482,"Mattapan","2019"
"159","I192076775","Larceny",42.34410718,-71.1018026,"South End","2019"
"160","I192076763","Larceny",42.28385993,-71.08599096,"Mattapan","2019"
"161","I192076757","Larceny",42.33676619,-71.08205122,"South End","2019"
